Year,Electrification_Ratio,E_Base(MWh),E_DataCenters(MWh),E_EOR(MWh),E_LTLF(MWh),E_Total(MWh),P_Peak_Base(MW),P_Peak_DataCenters(MW),P_EOR(MW),P_Peak_LTLF(MW),P_Peak_Total(MW)
2019,0.00,383845048,0,0,383845048,383845048,74666,0,0,74666,74666
2020,0.00,381779600,0,0,381779600,381779600,74328,0,0,74328,74328
2021,0.00,392700414,0,0,392700414,392700414,73651,0,0,73651,73651
2022,0.00,429884664,0,0,429884664,429884664,80038,0,0,80038,80038
2023,0.00,444548959,0,0,444548959,444548959,85464,0,0,85464,85464
2024,0.00,461491692,0,0,461491692,461491692,85199,0,0,85199,85199
2025,0.00,485897491,0,0,485897491,485897491,85759,0,0,85759,85759
2026,0.05,538939650,19181772,8564706,558121422,566686128,92217,2433,978,94650,95628
2027,0.10,595632762,52507440,17129411,648140202,665269614,97635,6660,1955,104295,106250
2028,0.15,685307488,109614011,25694117,794921499,820615616,107640,13903,2933,121543,124477
2029,0.20,747592733,141872580,34258823,889465313,923724136,110856,17995,3911,128851,132762
2030,0.25,808968667,174827700,42823529,983796367,1026619896,116769,22175,4889,138944,143833
2031,0.30,846989097,190753380,51388234,1037742477,1089130711,120327,24195,5866,144522,150388
